Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,NIFTY,35004,FUTIDX,XX,-1,NIFTY,NIFTY JUN FUT,NIFTY27JUN24F,2024-06-27,25,0.05
NFO,nse_fo,AARTIIND,35005,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND JUN FUT,AARTIIND27JUN24F,2024-06-27,1000,0.05
NFO,nse_fo,FINNIFTY,35006,FUTIDX,XX,-1,FINNIFTY,FINNIFTY JUL FUT,FINNIFTY30JUL24F,2024-07-30,25,0.05
NFO,nse_fo,NIFTY,35007,FUTIDX,XX,-1,NIFTY,NIFTY JUL FUT,NIFTY25JUL24F,2024-07-25,25,0.05
NFO,nse_fo,AARTIIND,35012,FUTSTK,XX,-1,AARTI INDUSTRIES LTD,AARTIIND JUL FUT,AARTIIND25JUL24F,2024-07-25,1000,0.05
NFO,nse_fo,ABB,35013,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB JUL FUT,ABB25JUL24F,2024-07-25,125,0.05
NFO,nse_fo,ABBOTINDIA,35014,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA JUL FUT,ABBOTINDIA25JUL24F,2024-07-25,20,0.05
NFO,nse_fo,ABCAPITAL,35015,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUL FUT,ABCAPITAL25JUL24F,2024-07-25,5400,0.05
NFO,nse_fo,ABFRL,35016,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL JUL FUT,ABFRL25JUL24F,2024-07-25,2600,0.05
NFO,nse_fo,ACC,35017,FUTSTK,XX,-1,ACC LIMITED,ACC JUL FUT,ACC25JUL24F,2024-07-25,300,0.05
NFO,nse_fo,ADANIENT,35018,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT JUL FUT,ADANIENT25JUL24F,2024-07-25,300,0.05
NFO,nse_fo,ADANIPORTS,35019,FUTSTK,XX,-1,ADANI PORT & SEZ LTD,ADANIPORTS JUL FUT,ADANIPORTS25JUL24F,2024-07-25,400,0.05
NFO,nse_fo,BANKNIFTY,35020,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY JUN FUT,BANKNIFTY26JUN24F,2024-06-26,15,0.05
NFO,nse_fo,MIDCPNIFTY,35025,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY JUN FUT,MIDCPNIFTY24JUN24F,2024-06-24,75,0.05
NFO,nse_fo,ALKEM,35026,FUTSTK,XX,-1,ALKEM LABORATORIES LTD.,ALKEM JUL FUT,ALKEM25JUL24F,2024-07-25,100,0.05
NFO,nse_fo,AMBUJACEM,35027,FUTSTK,XX,-1,AMBUJA CEMENTS LTD,AMBUJACEM JUL FUT,AMBUJACEM25JUL24F,2024-07-25,900,0.05
NFO,nse_fo,ABB,35028,FUTSTK,XX,-1,ABB INDIA LIMITED,ABB JUN FUT,ABB27JUN24F,2024-06-27,125,0.05
NFO,nse_fo,ABBOTINDIA,35029,FUTSTK,XX,-1,ABBOTT INDIA LIMITED,ABBOTINDIA JUN FUT,ABBOTINDIA27JUN24F,2024-06-27,20,0.05
NFO,nse_fo,ABCAPITAL,35030,FUTSTK,XX,-1,ADITYA BIRLA CAPITAL LTD.,ABCAPITAL JUN FUT,ABCAPITAL27JUN24F,2024-06-27,5400,0.05
NFO,nse_fo,ABFRL,35031,FUTSTK,XX,-1,ADITYA BIRLA FASHION & RT,ABFRL JUN FUT,ABFRL27JUN24F,2024-06-27,2600,0.05
NFO,nse_fo,APOLLOHOSP,35032,FUTSTK,XX,-1,APOLLO HOSPITALS ENTER. L,APOLLOHOSP JUL FUT,APOLLOHOSP25JUL24F,2024-07-25,125,0.05
NFO,nse_fo,APOLLOTYRE,35033,FUTSTK,XX,-1,APOLLO TYRES LTD,APOLLOTYRE JUL FUT,APOLLOTYRE25JUL24F,2024-07-25,1700,0.05
NFO,nse_fo,ACC,35047,FUTSTK,XX,-1,ACC LIMITED,ACC JUN FUT,ACC27JUN24F,2024-06-27,300,0.05
NFO,nse_fo,ADANIENT,35048,FUTSTK,XX,-1,ADANI ENTERPRISES LIMITED,ADANIENT JUN FUT,ADANIENT27JUN24F,2024-06-27,300,0.05
NFO,nse_fo,ASHOKLEY,35050,FUTSTK,XX,-1,ASHOK LEYLAND LTD,ASHOKLEY JUL FUT,ASHOKLEY25JUL24F,2024-07-25,5000,0.05
NFO,nse_fo,ADANIPORTS,35074,FUTSTK,XX,-1,ADANI PORT & SEZ LTD,ADANIPORTS JUN FUT,ADANIPORTS27JUN24F,2024-06-27,400,0.05
NFO,nse_fo,ALKEM,35076,FUTSTK,XX,-1,ALKEM LABORATORIES LTD.,ALKEM JUN FUT,ALKEM27JUN24F,2024-06-27,100,0.05
NFO,nse_fo,MIDCPNIFTY,35080,FUTIDX,XX,-1,MIDCPNIFTY,MIDCPNIFTY JUL FUT,MIDCPNIFTY29JUL24F,2024-07-29,50,0.05
NFO,nse_fo,FINNIFTY,35089,FUTIDX,XX,-1,FINNIFTY,FINNIFTY MAY FUT,FINNIFTY28MAY24F,2024-05-28,40,0.05
NFO,nse_fo,ASIANPAINT,35142,FUTSTK,XX,-1,ASIAN PAINTS LIMITED,ASIANPAINT JUL FUT,ASIANPAINT25JUL24F,2024-07-25,200,0.05
NFO,nse_fo,ASTRAL,35143,FUTSTK,XX,-1,ASTRAL LIMITED,ASTRAL JUL FUT,ASTRAL25JUL24F,2024-07-25,367,0.05
NFO,nse_fo,FINNIFTY,35152,FUTIDX,XX,-1,FINNIFTY,FINNIFTY JUN FUT,FINNIFTY25JUN24F,2024-06-25,40,0.05
NFO,nse_fo,BANKNIFTY,35165,FUTIDX,XX,-1,BANKNIFTY,BANKNIFTY JUL FUT,BANKNIFTY31JUL24F,2024-07-31,15,0.05
NFO,nse_fo,ATUL,35185,FUTSTK,XX,-1,ATUL LTD,ATUL JUL FUT,ATUL25JUL24F,2024-07-25,100,0.05
NFO,nse_fo,AUBANK,35190,FUTSTK,XX,-1,AU SMALL FINANCE BANK LTD,AUBANK JUL FUT,AUBANK25JUL24F,2024-07-25,1000,0.05
NFO,nse_fo,AUROPHARMA,35191,FUTSTK,XX,-1,AUROBINDO PHARMA LTD,AUROPHARMA JUL FUT,AUROPHARMA25JUL24F,2024-07-25,550,0.05
NFO,nse_fo,AXISBANK,35192,FUTSTK,XX,-1,AXIS BANK LIMITED,AXISBANK JUL FUT,AXISBANK25JUL24F,2024-07-25,625,0.05
NFO,nse_fo,BAJAJ-AUTO,35193,FUTSTK,XX,-1,BAJAJ AUTO LIMITED,BAJAJ-AUTO JUL FUT,BAJAJ-AUTO25JUL24F,2024-07-25,75,0.05
NFO,nse_fo,BAJAJFINSV,35195,FUTSTK,XX,-1,BAJAJ FINSERV LTD.,BAJAJFINSV JUL FUT,BAJAJFINSV25JUL24F,2024-07-25,500,0.05
