15/03/2024 14:23:00 Sell order executed @ NIFTY @ 22083.85, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:04 Sell order executed @ NIFTY @ 22080.1, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:05 Sell order executed @ NIFTY @ 22081.7, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:07 Sell order executed @ NIFTY @ 22079.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:08 Sell order executed @ NIFTY @ 22079.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:09 Sell order executed @ NIFTY @ 22078.4, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:11 Sell order executed @ NIFTY @ 22080.5, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:12 Sell order executed @ NIFTY @ 22079.85, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:13 Sell order executed @ NIFTY @ 22075.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:15 Sell order executed @ NIFTY @ 22075.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:16 Sell order executed @ NIFTY @ 22073.4, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:18 Sell order executed @ NIFTY @ 22076.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:19 Sell order executed @ NIFTY @ 22072.3, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:21 Sell order executed @ NIFTY @ 22073.2, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:22 Sell order executed @ NIFTY @ 22073.2, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:23 Sell order executed @ NIFTY @ 22070.0, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:25 Sell order executed @ NIFTY @ 22068.8, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:26 Sell order executed @ NIFTY @ 22070.6, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:27 Sell order executed @ NIFTY @ 22072.5, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:29 Sell order executed @ NIFTY @ 22075.1, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:30 Sell order executed @ NIFTY @ 22075.1, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:32 Sell order executed @ NIFTY @ 22071.8, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:33 Sell order executed @ NIFTY @ 22071.5, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:34 Sell order executed @ NIFTY @ 22073.2, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:36 Sell order executed @ NIFTY @ 22073.65, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:37 Sell order executed @ NIFTY @ 22073.0, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:38 Sell order executed @ NIFTY @ 22072.6, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:40 Sell order executed @ NIFTY @ 22073.7, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:41 Sell order executed @ NIFTY @ 22073.5, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:43 Sell order executed @ NIFTY @ 22074.55, option contract= NIFTY21MAR24P22050
15/03/2024 14:23:44 Sell order executed @ NIFTY @ 22076.7, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:45 Sell order executed @ NIFTY @ 22076.7, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:47 Sell order executed @ NIFTY @ 22079.0, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:48 Sell order executed @ NIFTY @ 22079.9, option contract= NIFTY21MAR24P22100
15/03/2024 14:23:50 Sell order executed @ NIFTY @ 22081.0, option contract= NIFTY21MAR24P22100
